Link (Cust + PH),Country,ABC-XYZ,201401,201402,201403,201404,201405,201406,201407,201408,201409,201410,201411,201412,201501,201502,201503,201504,201505,201506,201507,201508,201509,201510,201511,201512,201601,201602,201603,201604,201605,201606,201607,201608,201609,201610,201611,201612,201701,201702,201703,201704,201705,201706,201707,201708,201709,201710,201711,201712
17011901PC081000A,ISEEI,C-Y,75.32,148.68,143.36,0,153.44,0,143.36,0,154,0,0,442.12,164.36,73.92,150.36,0,223.16,151.48,0,142.8,75.04,74.1,295.5,76.2,151.8,0,153,0,75.6,287.4,154.2,76.8,76.5,72.3,226.8,151.8,0,0,75.9,301.2,144.3,227.7,303,78.6,148.2,225.3,75.9,150.9
17011901PT080500A,ISEEI,NOT SOLD IN THE LAST YEAR,0,0,0,0,0,156.8,112,122.36,201.6,89.6,108.92,112,116.2,89.6,134.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17011901PT080500P,ISEEI,C-Z,168,120,122.1,139.5,48,0,0,0,0,0,0,0,0,0,0,156.8,120.4,67.2,138.04,201.6,67.2,119.28,132.72,246.5,0,72,120,117.9,117.9,96,96,131.4,96,144,105.3,270,48,0,132,72,66.6,0,72,0,0,0,0,0
17011901PT081000A,ISEEI,B-Y,723.8,151.76,"1,049.44",662.76,473.76,222.6,285.88,370.16,380.8,659.68,579.04,"1,029.28",113.68,332.36,723.24,702.52,665,678.44,381.64,442.4,523.32,797.94,"1,568.40",951.3,228.9,670.2,949.5,82.2,834.6,456.6,982.2,721.5,392.7,"1,267.20",303,225.3,603.3,454.2,441,"1,215.60",425.7,535.5,719.7,755.4,862.5,"1,129.50",0,509.1
17011901PT081000P,ISEEI,B-X,"2,908.80","2,479.50","3,270.90","2,557.20","2,228.40","2,631.60","2,932.80","2,441.40","3,267.30","2,668.50","2,299.20","2,519.40","2,580.00","2,049.60","3,040.50","2,124.00","2,263.20","1,971.00","1,917.60","2,603.10","2,227.50","1,746.60","3,340.50","6,053.40",0,440.7,"1,243.20","1,240.80","1,885.80","2,159.10","1,737.60","2,046.30","1,540.50","2,106.60","2,126.10","3,986.10",79.8,"1,533.60","2,334.30","1,350.90","1,802.40","1,010.70","1,418.70","1,494.90","1,401.90","1,603.80","1,959.00","1,580.10"
17013059PC050500A,ISEEI,C-Y,72.64,0,90.24,0,0,0,0,90.88,86.4,0,0,0,0,0,178.88,0,0,0,0,0,0,0,0,"1,005.12",733.76,544.96,655.68,187.84,278.4,83.84,848,0,0,443.2,374.72,462.72,188.16,353.6,375.68,368.96,276.8,486.08,282.88,0,185.6,184.64,0,187.84
17013059PC051000A,ISEEI,A-X,"8,414.72","5,996.16","6,449.60","6,210.88","6,901.76","5,751.04","8,006.72","5,568.64","5,193.60","3,644.80","2,630.72","4,768.96","4,280.96","5,368.64","6,328.00","6,906.56","6,673.60","4,853.76","7,326.08","3,745.92","4,526.72","3,735.04","3,747.20","10,429.76","6,021.76","7,190.08","7,653.44","6,284.48","5,970.88","5,740.16","3,827.84","4,470.40","2,469.44","2,496.00","4,999.68","8,021.44","4,055.36","5,811.84","6,154.24","7,402.24","2,961.92","5,586.56","3,752.32","4,512.64","2,313.92","6,299.52","9,582.72","12,103.36"
17013228PC080500A,ISEEI,NOT SOLD IN THE LAST YEAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17013228PC081000A,ISEEI,A-X,"1,580.60","1,004.08","1,407.84","2,124.36","2,455.32","1,320.76","2,698.36","1,903.16",558.32,"1,627.36","2,098.32","3,601.08",338.8,"1,637.16","1,211.00","1,910.72",922.6,"2,999.08","1,844.36","1,102.64",347.48,75.3,"1,611.00","3,947.10",396.3,"1,921.20","1,427.70","1,487.70","1,515.90",427.5,"1,559.70",462.9,"1,800.30",876,"1,184.40","5,423.40",0,"1,626.00","2,280.00","2,780.40","2,117.10","1,611.00","1,740.90","1,333.20","1,178.10","1,984.20","1,815.00","2,849.10"
17013228PC081000P,ISEEI,NOT SOLD IN THE LAST YEAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
